"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"03.01.2017 09:30 - 03.01.2017 09:45","72871","79450"
"03.01.2017 09:45 - 03.01.2017 10:00","73250","79867"
"03.01.2017 10:00 - 03.01.2017 10:15","73331","80304"
"03.01.2017 10:15 - 03.01.2017 10:30","73554","80749"
"03.01.2017 10:30 - 03.01.2017 10:45","74077","81044"
"03.01.2017 10:45 - 03.01.2017 11:00","73903","80976"
"03.01.2017 11:00 - 03.01.2017 11:15","73824","80643"
"03.01.2017 11:15 - 03.01.2017 11:30","74131","80837"
"03.01.2017 11:30 - 03.01.2017 11:45","73805","81124"
"03.01.2017 11:45 - 03.01.2017 12:00","73846","80796"
"03.01.2017 12:00 - 03.01.2017 12:15","73582","80433"
"03.01.2017 12:15 - 03.01.2017 12:30","73359","80151"
"03.01.2017 12:30 - 03.01.2017 12:45","73019","80254"
"03.01.2017 12:45 - 03.01.2017 13:00","72361","79886"
"03.01.2017 13:00 - 03.01.2017 13:15","72009","79947"
"03.01.2017 13:15 - 03.01.2017 13:30","71393","79759"
"03.01.2017 13:30 - 03.01.2017 13:45","71529","79591"
"03.01.2017 13:45 - 03.01.2017 14:00","71833","79271"
"03.01.2017 14:00 - 03.01.2017 14:15","72398","79471"
"03.01.2017 14:15 - 03.01.2017 14:30","71332","79442"
"03.01.2017 14:30 - 03.01.2017 14:45","71428","79426"
"03.01.2017 14:45 - 03.01.2017 15:00","71562","79247"
"03.01.2017 15:00 - 03.01.2017 15:15","71725","79821"
"03.01.2017 15:15 - 03.01.2017 15:30","72859","80494"
"03.01.2017 15:30 - 03.01.2017 15:45","74260","81506"
"03.01.2017 15:45 - 03.01.2017 16:00","74157","82577"
"03.01.2017 16:00 - 03.01.2017 16:15","75725","83456"
"03.01.2017 16:15 - 03.01.2017 16:30","76229","84406"
"03.01.2017 16:30 - 03.01.2017 16:45","76861","84708"
"03.01.2017 16:45 - 03.01.2017 17:00","76523","84809"
"03.01.2017 17:00 - 03.01.2017 17:15","76099","84302"
"03.01.2017 17:15 - 03.01.2017 17:30","76148","83863"
"03.01.2017 17:30 - 03.01.2017 17:45","75900","83602"
"03.01.2017 17:45 - 03.01.2017 18:00","75974","83253"
"03.01.2017 18:00 - 03.01.2017 18:15","74999","82829"
"03.01.2017 18:15 - 03.01.2017 18:30","74366","82237"
"03.01.2017 18:30 - 03.01.2017 18:45","73690","81551"
"03.01.2017 18:45 - 03.01.2017 19:00","72731","80807"
"03.01.2017 19:00 - 03.01.2017 19:15","70994","79423"
"03.01.2017 19:15 - 03.01.2017 19:30","69102","78096"
"03.01.2017 19:30 - 03.01.2017 19:45","68462","77012"
"03.01.2017 19:45 - 03.01.2017 20:00","67563","75992"
"03.01.2017 20:00 - 03.01.2017 20:15","66343","75122"
"03.01.2017 20:15 - 03.01.2017 20:30","66001","74559"
"03.01.2017 20:30 - 03.01.2017 20:45","65508","73691"
"03.01.2017 20:45 - 03.01.2017 21:00","64506","73067"
"03.01.2017 21:00 - 03.01.2017 21:15","64613","73974"
"03.01.2017 21:15 - 03.01.2017 21:30","64153","71566"
"03.01.2017 21:30 - 03.01.2017 21:45","62905","70707"
"03.01.2017 21:45 - 03.01.2017 22:00","61646","68975"
"03.01.2017 22:00 - 03.01.2017 22:15","60030","68026"
"03.01.2017 22:15 - 03.01.2017 22:30","58990","67010"
"03.01.2017 22:30 - 03.01.2017 22:45","57692","65713"
"03.01.2017 22:45 - 03.01.2017 23:00","56910","63896"
"03.01.2017 23:00 - 03.01.2017 23:15","55974","62826"
"03.01.2017 23:15 - 03.01.2017 23:30","55186","61996"
"03.01.2017 23:30 - 03.01.2017 23:45","54581","61115"
"03.01.2017 23:45 - 04.01.2017 00:00","54068","60425"
"04.01.2017 00:00 - 04.01.2017 00:15","53401","59918"
"04.01.2017 00:15 - 04.01.2017 00:30","52644","59595"
"04.01.2017 00:30 - 04.01.2017 00:45","52246","59449"
"04.01.2017 00:45 - 04.01.2017 01:00","51985","59097"
"04.01.2017 01:00 - 04.01.2017 01:15","51589","58726"
"04.01.2017 01:15 - 04.01.2017 01:30","51495","58500"
"04.01.2017 01:30 - 04.01.2017 01:45","51361","58293"
"04.01.2017 01:45 - 04.01.2017 02:00","51346","58253"
"04.01.2017 02:00 - 04.01.2017 02:15","51419","58088"
"04.01.2017 02:15 - 04.01.2017 02:30","51313","58028"
"04.01.2017 02:30 - 04.01.2017 02:45","51238","58503"
"04.01.2017 02:45 - 04.01.2017 03:00","51646","58907"
"04.01.2017 03:00 - 04.01.2017 03:15","52182","59051"
"04.01.2017 03:15 - 04.01.2017 03:30","52680","58976"
"04.01.2017 03:30 - 04.01.2017 03:45","52937","59377"
"04.01.2017 03:45 - 04.01.2017 04:00","53638","60077"
"04.01.2017 04:00 - 04.01.2017 04:15","55133","60891"
